               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,              0.0249,            0.031153,           0.0023222,             0.82753,             0.82099,             0.85641,             0.59043,            0.025586,            0.031029,            0.010964,            0.006205,            0.006205,            0.006205
                 117,             0.02414,            0.028904,           0.0022237,             0.87475,             0.79397,             0.85868,             0.60716,            0.025558,            0.032707,           0.0098193,            0.006172,            0.006172,            0.006172
                 118,            0.025118,            0.030309,           0.0022795,             0.89725,             0.79116,             0.86085,             0.60898,            0.024872,            0.031975,            0.010085,            0.006139,            0.006139,            0.006139
                 119,            0.024493,            0.030256,           0.0022695,             0.88699,             0.77181,             0.85532,             0.60506,            0.024978,            0.033055,           0.0089193,            0.006106,            0.006106,            0.006106
                 120,            0.024069,            0.028775,           0.0026293,              0.8877,             0.77979,             0.85925,              0.6039,            0.025214,            0.032841,           0.0095805,            0.006073,            0.006073,            0.006073
                 121,            0.024771,            0.030538,           0.0019925,             0.87191,             0.79227,             0.85419,             0.59827,            0.025479,            0.032787,            0.010192,             0.00604,             0.00604,             0.00604
                 122,            0.024227,             0.02913,           0.0023291,              0.8414,             0.79186,             0.85795,             0.59688,            0.025318,            0.032486,            0.010854,            0.006007,            0.006007,            0.006007
                 123,            0.024651,            0.030055,           0.0026029,             0.85738,             0.80834,             0.85645,             0.60657,              0.0251,            0.033328,           0.0094757,            0.005974,            0.005974,            0.005974
                 124,            0.024144,            0.029046,           0.0020572,             0.83454,             0.82101,             0.85555,             0.59832,            0.025358,            0.032923,           0.0097621,            0.005941,            0.005941,            0.005941
                 125,             0.02393,            0.029066,           0.0022106,             0.85292,              0.8117,              0.8573,             0.59751,             0.02538,            0.032892,           0.0097824,            0.005908,            0.005908,            0.005908
                 126,             0.02452,            0.029449,           0.0020665,             0.83844,              0.8278,             0.86016,             0.60321,            0.024901,            0.032642,           0.0085564,            0.005875,            0.005875,            0.005875
                 127,            0.024082,            0.030026,           0.0019624,             0.86926,             0.82644,             0.87167,             0.60811,            0.024491,            0.032334,           0.0078054,            0.005842,            0.005842,            0.005842
                 128,            0.023847,            0.028132,           0.0022604,             0.90174,             0.80461,             0.86483,             0.60646,            0.025072,            0.031716,            0.007716,            0.005809,            0.005809,            0.005809
